,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Household & Furniture,Manufacturing Release,15.18913779,15.7967033,16.42857143,17.14285714,17.71428571,18.28571429,19.14285714,20.28571429,21.42857143,22.28571429,22.85714286,23.57142857,24.28571429,25.28571429,26.28571429,27.42857143,29.42857143,30.31142857,31.22077143,32.15739457,33.1221164
Household & Furniture,In Use,74.42677515,412.3243343,555.3428255,682.0312918,738.9626305,803.1635621,843.1681191,890.3715396,933.9233828,979.136559,1009.102166,1031.498784,1049.792411,1070.915296,1108.915306,1151.398564,1216.432995,1295.359764,1359.631964,1420.753449,1472.761498
Household & Furniture,End of Life,0,0,0.005463757,0.1562073,0.53974407,2.966028629,5.844597406,16.51307032,25.35847787,50.08753737,64.35121071,91.67074803,100.4020924,101.2309603,97.20378551,74.64030306,66.86491467,51.09524892,48.29576129,43.91627315,44.10470108
Household & Furniture,Stock,669.8409764,1031.555104,1281.206814,1439.019315,1567.516941,1657.38735,1746.374633,1833.490023,1924.208163,1986.984066,2033.53069,2065.361158,2105.166655,2172.020398,2253.901307,2371.86244,2530.564531,2669.369517,2791.259592,2902.302204,3008.419709
Automotive,Manufacturing Release,6.50963048,6.770015699,7.040816327,7.346938776,7.591836735,7.836734694,8.204081633,8.693877551,9.183673469,9.551020408,9.795918367,10.10204082,10.40816327,10.83673469,11.26530612,11.75510204,12.6122449,12.99061224,13.38033061,13.78174053,14.19519274
Automotive,In Use,31.89718935,176.710429,238.0040681,292.2999805,316.7230688,344.3098246,361.8602763,382.7492099,403.2804241,425.0058257,442.1457836,456.027707,467.7447692,479.3650757,492.4858695,506.8398311,526.3685168,552.8487878,576.1387131,598.723895,622.2542153
Automotive,End of Life,0,0,0.000630667,0.018033275,0.062371746,0.343997984,0.683756142,1.974453817,3.134497632,6.676512959,9.296035672,15.93813716,19.94928471,28.1672602,31.96493681,36.83636475,38.19337156,35.90542017,34.47574784,28.05316057,25.92423464
Automotive,Stock,287.0747042,442.0950444,549.0903457,616.7723319,671.9868914,711.3330687,750.7890363,792.0653727,835.6504509,871.9681123,900.526293,923.5604489,945.866395,969.3340591,996.8832528,1029.207057,1082.645169,1130.430961,1175.4527,1223.98093,1271.366925
Medical,Manufacturing Release,14.10419937,14.66836735,15.25510204,15.91836735,16.44897959,16.97959184,17.7755102,18.83673469,19.89795918,20.69387755,21.2244898,21.8877551,22.55102041,23.47959184,24.40816327,25.46938776,27.32653061,28.14632653,28.99071633,29.86043782,30.75625094
Medical,In Use,69.11057693,382.8725962,553.6862981,653.842815,719.5183877,765.3492905,802.5536685,841.9420164,887.6214125,935.1469258,977.0970058,1011.711161,1045.258989,1079.574954,1119.475982,1162.820294,1214.386804,1280.581776,1333.879655,1381.335123,1426.493451
Medical,End of Life,0,0,0.000668118,0.006039617,0.019806782,0.04195355,0.069635598,0.099191519,0.127560794,0.152914235,0.174683574,0.193184029,0.209080408,0.222990086,0.235394076,0.246685243,0.257252428,0.26748516,0.277780941,0.288642012,0.300367803
Medical,Stock,621.9951923,957.8725962,1151.68563,1277.836775,1364.298581,1430.907337,1499.284033,1580.242825,1667.493852,1746.194012,1808.922322,1869.517977,1929.049908,1999.751964,2076.040588,2160.973609,2285.329552,2383.650291,2470.037954,2551.575643,2631.83812
Other Industries,Manufacturing Release,10.84938413,11.2833595,11.73469388,12.24489796,12.65306122,13.06122449,13.67346939,14.48979592,15.30612245,15.91836735,16.32653061,16.83673469,17.34693878,18.06122449,18.7755102,19.59183673,21.02040816,21.65102041,22.30055102,22.96956755,23.65865457
Other Industries,In Use,53.16198225,294.5173817,396.6734468,487.1670988,527.8852511,573.9023842,603.374983,638.5557945,673.8488319,711.4999093,743.1297353,769.9182123,795.365763,821.0491925,850.3252956,881.1786611,917.7171927,964.6710779,999.5574698,1032.562183,1061.969614
Other Industries,End of Life,0,0,0.00012196,0.003487481,0.012066027,0.066626586,0.132808963,0.386257929,0.620135023,1.354671993,1.94424657,3.560099248,4.746547469,7.701319319,9.722407404,14.33749628,17.28443298,23.41535177,27.05003823,33.73173709,37.3926611
Other Industries,Stock,478.4578403,736.825074,915.1515053,1027.980919,1120.083602,1186.114591,1252.606799,1323.664747,1399.19578,1466.341199,1521.267217,1572.788905,1622.676595,1678.926083,1738.87838,1803.362222,1898.360597,1971.174167,2037.293659,2096.508549,2156.420348
Packaging,Manufacturing Release,6.50963048,6.770015699,7.040816327,7.346938776,7.591836735,7.836734694,8.204081633,8.693877551,9.183673469,9.551020408,9.795918367,10.10204082,10.40816327,10.83673469,11.26530612,11.75510204,12.6122449,12.99061224,13.38033061,13.78174053,14.19519274
Packaging,In Use,31.89718935,176.710429,255.5475222,298.188826,312.8471899,325.4077559,337.5459186,352.4320435,371.220795,391.2940908,408.6841662,422.3732428,435.4779237,449.2158992,465.8961938,484.219949,506.2973352,534.8474786,557.2705731,576.57858,594.1060323
Packaging,End of Life,0,0,7.169870162,34.89444625,36.431678,37.91591882,39.48183154,40.79045351,42.23261345,44.32575835,46.93768066,49.41739541,51.24612518,52.62351174,54.25629579,56.02527861,58.31037804,60.66557245,63.6834303,67.72363298,69.76630451
Packaging,Stock,287.0747042,442.0950444,524.377652,551.2943798,574.0155119,594.6918371,619.664087,652.44159,688.9881816,721.3683324,745.7464856,768.9558474,792.2317985,821.3923875,853.239898,888.9946704,942.3869571,983.4139061,1018.096103,1049.099176,1080.791283
Electronics,Manufacturing Release,6.50963048,6.770015699,7.040816327,7.346938776,7.591836735,7.836734694,8.204081633,8.693877551,9.183673469,9.551020408,9.795918367,10.10204082,10.40816327,10.83673469,11.26530612,11.75510204,12.6122449,12.99061224,13.38033061,13.78174053,14.19519274
Electronics,In Use,31.89718935,176.710429,255.5475222,301.7363029,331.7317738,352.0076114,367.8284605,384.7191564,404.920691,426.2979013,445.275157,460.9381986,476.1162984,491.631753,509.7216699,529.4228952,552.9487352,583.2398416,607.5693485,629.1754242,649.6769708
Electronics,End of Life,0,0,0.074916374,0.672755335,2.116550924,3.9506905,5.19014772,5.67777436,5.924888466,6.147587201,6.398759852,6.705601861,7.052792438,7.388413151,7.675879439,7.925424908,8.177051883,8.460384736,8.788517293,9.178600219,9.626743641
Electronics,Stock,287.0747042,442.0950444,531.4726058,589.0635476,627.2152229,655.2569209,684.2383127,719.841382,758.9958025,794.5503141,822.8763972,850.2325967,877.0635059,909.0433398,943.6457905,982.2974703,1039.171683,1084.011457,1123.289791,1160.241053,1196.501783
Construction & Building,Manufacturing Release,48.8222286,50.77511774,52.80612245,55.10204082,56.93877551,58.7755102,61.53061224,65.20408163,68.87755102,71.63265306,73.46938776,75.76530612,78.06122449,81.2755102,84.48979592,88.16326531,94.59183673,97.42959184,100.3524796,103.363054,106.4639456
Construction & Building,In Use,239.2289201,1325.328217,1916.606416,2263.303207,2490.651593,2423.553471,2656.245773,2844.229161,3026.994152,3205.9985,3346.874879,3471.474377,3585.735482,3703.535422,3845.52841,4000.068213,4180.114025,4409.717574,4590.135403,4752.56997,4905.967624
Construction & Building,End of Life,0,0,2.26E-06,2.04E-05,6.70E-05,0.000141928,0.003196248,0.006482741,0.009652592,0.01250355,0.01492467,0.06126688,0.096339901,0.122714893,0.142932955,0.158354696,0.364330514,0.504394217,0.603092806,0.676819489,0.732443035
Construction & Building,Stock,2153.060281,3315.712833,3986.606414,4423.303187,4722.651526,5179.097914,5537.848945,5888.613301,6236.609497,6540.598494,6793.70869,7034.673045,7273.841224,7552.683087,7847.011744,8166.785176,8621.30682,8985.134851,9311.667855,9623.210711,9933.243977
