,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Household & Furniture,Manufacturing Release,33.29398286,36.62337429,40.28571429,43.71428571,48,52.28571429,58.28571429,62.57142857,66.85714286,68.57142857,70.97142857,71.57142857,72.85714286,74.57142857,76.28571429,80.14285714,85.71428571,90,93.6,96.408,99.30024
Household & Furniture,In Use,163.140516,913.586856,1282.28428,1635.963442,1849.367194,2106.784096,2328.846654,2588.56309,2800.543969,2997.11358,3109.935612,3205.888239,3240.189914,3279.363068,3335.633545,3410.587451,3567.451722,3774.935495,3984.738045,4184.270654,4356.277588
Household & Furniture,End of Life,0,0,0.011976338,0.343118735,1.204431805,6.595608823,13.2976917,37.48342263,59.06003609,116.8408441,154.8844736,224.2889738,256.2255531,273.7391322,279.2324392,244.9721428,235.7379074,206.4474506,195.8287508,177.7457537,163.3986742
Household & Furniture,Stock,1468.264644,2349.223128,3040.926871,3546.620311,4048.048685,4496.66898,5010.524635,5450.478123,5866.874118,6112.919693,6325.699608,6402.522394,6476.106927,6577.004727,6700.138743,6971.57915,7368.38952,7797.006574,8202.839779,8564.815371,8910.85087
Automotive,Manufacturing Release,14.2688498,15.69573184,17.26530612,18.73469388,20.57142857,22.40816327,24.97959184,26.81632653,28.65306122,29.3877551,30.41632653,30.67346939,31.2244898,31.95918367,32.69387755,34.34693878,36.73469388,38.57142857,40.11428571,41.31771429,42.55724571
Automotive,In Use,69.917364,391.537224,549.5504058,701.1290646,792.6404103,903.1231886,999.1950441,1112.012961,1207.110312,1296.905414,1355.422758,1407.258298,1432.465962,1457.441392,1477.716972,1504.041411,1555.053572,1628.357072,1707.512743,1781.928764,1853.21733
Automotive,End of Life,0,0,0.001382396,0.039611161,0.139179296,0.764911898,1.555155179,4.477974683,7.282345789,15.48702917,22.13012312,38.04383904,49.02732996,70.0259902,82.23210599,97.7239032,105.5590877,105.9710551,106.6237208,96.06226627,91.94390881
Automotive,Stock,629.256276,1006.809912,1303.258124,1520.089448,1735.309858,1929.421758,2152.671559,2350.180623,2539.787966,2667.395523,2780.242641,2837.940504,2886.447212,2924.97983,2967.030752,3048.265438,3187.652778,3343.324651,3494.788187,3641.365157,3781.508958
Medical,Manufacturing Release,30.91584122,34.00741898,37.40816327,40.59183673,44.57142857,48.55102041,54.12244898,58.10204082,62.08163265,63.67346939,65.90204082,66.45918367,67.65306122,69.24489796,70.83673469,74.41836735,79.59183673,83.57142857,86.91428571,89.52171429,92.20736571
Medical,In Use,151.487622,848.330652,1274.010738,1569.104637,1798.545655,2010.750674,2222.12758,2456.482882,2671.123401,2864.205575,3002.82942,3118.515754,3193.09532,3261.553835,3334.754562,3420.079544,3558.270047,3748.246574,3937.598869,4110.557209,4261.287778
