,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Household & Furniture,Manufacturing Release,15.18913779,15.7967033,16.42857143,17.14285714,17.71428571,18.28571429,19.14285714,20.28571429,21.42857143,22.28571429,22.85714286,23.57142857,24.28571429,25.28571429,26.28571429,27.42857143,29.42857143,30.31142857,31.22077143,32.15739457,33.1221164
Household & Furniture,In Use,0,334.9204882,515.7775518,620.136044,688.043331,734.5407842,770.2997039,806.9689125,850.3903756,930.4117971,972.6506428,996.1920566,1018.696574,1043.261218,1076.665896,1115.707815,1161.194186,1228.266698,1296.252879,1359.410678,1417.137282
Household & Furniture,End of Life,0,0,0.005463757,0.0493821,0.161762631,0.341376332,0.561878898,0.788161262,0.989958866,36.99061599,60.10983815,73.26583956,80.63996675,84.99415162,88.16333915,91.6303109,96.09834907,69.878,54.14654268,46.2764934,43.28622725
Household & Furniture,Production,744.2677515,774.0384616,805,840,868,896,938,994,1050,1092,1120,1155,1190,1239,1288,1344,1442,1485.26,1529.8178,1575.712334,1622.983704
Household & Furniture,Stock,669.8409764,1031.555104,1240.272088,1376.086662,1469.081568,1540.599408,1613.937825,1700.780751,1860.823594,1945.301286,1992.384113,2037.393148,2086.522436,2153.331792,2231.41563,2322.388372,2456.533395,2592.505758,2718.821356,2834.274564,2940.656613
Automotive,Manufacturing Release,6.50963048,6.770015699,7.040816327,7.346938776,7.591836735,7.836734694,8.204081633,8.693877551,9.183673469,9.551020408,9.795918367,10.10204082,10.40816327,10.83673469,11.26530612,11.75510204,12.6122449,12.99061224,13.38033061,13.78174053,14.19519274
Automotive,In Use,0,143.5373521,221.0475222,265.7734458,294.8838724,314.8325899,330.1965097,345.9654589,364.6361295,398.9977774,422.4174743,438.2263607,452.1710854,465.4602591,481.4386707,499.2300866,519.6110579,550.2536306,570.2659309,588.5706839,607.3241607
Automotive,End of Life,0,0,0.000630667,0.005700908,0.018692609,0.03957043,0.065591954,0.093199944,0.119386295,4.980792882,8.767435576,11.52611951,13.46389452,14.7676427,15.67031909,16.44258764,17.26701571,26.24951652,27.98457825,27.90778151,27.8631897
Automotive,Production,318.9718935,331.7307692,345,360,372,384,402,426,450,468,480,495,510,531,552,576,618,636.54,655.6362,675.305286,695.5644444
Automotive,Stock,287.0747042,442.0950444,531.5468915,589.7677449,629.6651798,660.3930195,691.9309178,729.2722589,797.9955548,844.8349486,876.4527214,904.3421709,930.9205183,962.8773415,998.4601731,1039.222116,1100.507261,1140.531862,1177.141368,1214.648321,1253.086063
