,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Household & Furniture,Manufacturing Release,33.29398286,36.62337429,40.28571429,43.71428571,48,52.28571429,58.28571429,62.57142857,66.85714286,68.57142857,70.97142857,71.57142857,72.85714286,74.57142857,76.28571429,80.14285714,85.71428571,90,93.6,96.408,99.30024
Household & Furniture,In Use,0,734.132322,1174.611564,1475.599794,1701.645416,1909.041777,2107.032233,2338.062909,2547.791994,2819.678205,2961.171399,3065.061727,3119.112014,3171.159707,3233.507993,3305.25973,3423.244966,3602.838323,3814.225045,4021.426716,4198.199156
Household & Furniture,End of Life,0,0,0.011976338,0.108962167,0.361862253,0.777310514,1.306415676,1.878920037,2.432534712,81.49202019,137.0602331,174.3033728,199.700006,221.3928602,242.0760973,266.6990953,289.7834897,243.0845096,209.3061165,189.4034988,174.7529097
Household & Furniture,Production,1631.40516,1794.54534,1974,2142,2352,2562,2856,3066,3276,3360,3477.6,3507,3570,3654,3738,3927,4200,4410,4586.4,4723.992,4865.71176
Household & Furniture,Stock,1468.264644,2349.223128,2951.199588,3403.290832,3818.083554,4214.064466,4676.125817,5095.583989,5639.356409,5922.342799,6130.123454,6238.224027,6342.319414,6467.015985,6610.51946,6846.489932,7205.676646,7628.45009,8042.853431,8396.398312,8720.971582
Automotive,Manufacturing Release,14.2688498,15.69573184,17.26530612,18.73469388,20.57142857,22.40816327,24.97959184,26.81632653,28.65306122,29.3877551,30.41632653,30.67346939,31.2244898,31.95918367,32.69387755,34.34693878,36.73469388,38.57142857,40.11428571,41.31771429,42.55724571
Automotive,In Use,0,314.628138,503.404956,632.4017868,729.2946038,818.2263947,903.1681523,1002.307859,1092.34299,1209.037493,1281.369098,1339.169054,1373.319687,1403.703911,1436.695247,1472.868446,1529.143039,1613.757068,1687.439725,1757.681373,1818.991627
Automotive,End of Life,0,0,0.001382396,0.012579106,0.041814457,0.090090195,0.152433828,0.221878238,0.292420901,10.96614321,19.92452353,27.19160087,32.90926886,37.74630307,42.04091654,46.60041057,50.89684686,72.75119452,78.92101355,81.14142181,82.30396122
Automotive,Production,699.17364,769.09086,846,918,1008,1098,1224,1314,1404,1440,1490.4,1503,1530,1566,1602,1683,1800,1890,1965.6,2024.568,2085.30504
Automotive,Stock,629.256276,1006.809912,1264.803574,1458.589208,1636.452789,1806.336305,2004.615718,2184.685981,2418.074986,2562.738195,2678.338109,2746.639374,2807.407822,2873.390493,2945.736891,3058.286078,3227.514136,3374.87945,3515.362745,3637.983253,3755.708826
Medical,Manufacturing Release,30.91584122,34.00741898,37.40816327,40.59183673,44.57142857,48.55102041,54.12244898,58.10204082,62.08163265,63.67346939,65.90204082,66.45918367,67.65306122,69.24489796,70.83673469,74.41836735,79.59183673,83.57142857,86.91428571,89.52171429,92.20736571
Medical,In Use,0,681.694299,1090.710738,1370.204637,1580.145655,1772.850674,1956.92758,2171.782882,2366.923401,2552.205575,2679.90942,2792.865754,2861.59532,2922.253835,2987.654562,3055.429544,3168.270047,3338.746574,3511.718869,3671.900809,3809.471686
Medical,End of Life,0,0,0.001464487,0.013326469,0.044306643,0.095513605,0.161816525,0.236080797,0.312250082,0.386735212,0.457911637,0.525114701,0.587648863,0.644711429,0.69547352,0.739450973,0.77689909,0.808836167,0.837251104,0.865037482,0.894888131
Medical,Production,1514.87622,1666.36353,1833,1989,2184,2379,2652,2847,3042,3120,3229.2,3256.5,3315,3393,3471,3646.5,3900,4095,4258.8,4386.564,4518.16092
Medical,Stock,1363.388598,2181.421476,2740.409274,3160.29131,3545.701349,3913.855161,4343.565764,4733.846801,5104.41115,5359.81884,5585.731508,5723.190639,5844.507671,5975.309124,6110.859088,6336.540093,6677.493148,7023.437738,7343.801618,7618.943371,7874.921626
Other Industries,Manufacturing Release,23.78141633,26.15955306,28.7755102,31.2244898,34.28571429,37.34693878,41.63265306,44.69387755,47.75510204,48.97959184,50.69387755,51.12244898,52.04081633,53.26530612,54.48979592,57.24489796,61.2244898,64.28571429,66.85714286,68.86285714,70.92874286
Other Industries,In Use,0,524.38023,839.00826,1080.223008,1257.449056,1437.412981,1599.637138,1787.808118,1955.360309,2117.16669,2231.330125,2334.780003,2399.461006,2457.126822,2512.455065,2568.45486,2654.23011,2783.672799,2912.667035,3033.961046,3135.992705
Other Industries,End of Life,0,0,0.000267331,0.006709957,0.023499918,0.134141731,0.275664528,0.801736094,1.321845626,2.902447214,4.282284162,7.878990572,10.79375841,17.60722715,22.82904741,33.89181129,41.94579732,57.3676451,68.02589681,86.07064718,97.93665441
Other Industries,Production,1165.2894,1281.8181,1410,1530,1680,1830,2040,2190,2340,2400,2484,2505,2550,2610,2670,2805,3000,3150,3276,3374.28,3475.5084
Other Industries,Stock,1048.76046,1678.01652,2160.446016,2514.898112,2874.825961,3199.274276,3575.616235,3910.720617,4234.333381,4462.66025,4669.560005,4798.922012,4914.253645,5024.910131,5136.90972,5308.46022,5567.345597,5825.33407,6067.922091,6271.985411,6465.137673
Packaging,Manufacturing Release,14.2688498,15.69573184,17.26530612,18.73469388,20.57142857,22.40816327,24.97959184,26.81632653,28.65306122,29.3877551,30.41632653,30.67346939,31.2244898,31.95918367,32.69387755,34.34693878,36.73469388,38.57142857,40.11428571,41.31771429,42.55724571
Packaging,In Use,0,314.628138,503.404956,624.5444436,686.6571257,754.1869321,824.3192817,911.9601907,991.3822931,1066.286396,1113.487754,1154.858107,1176.917848,1197.962966,1222.368241,1249.914326,1298.568708,1373.586957,1449.129388,1516.113867,1570.080097
Packaging,End of Life,0,0,15.71606879,77.43019221,85.48326155,93.74836876,101.9989003,111.7956046,122.4095015,135.3108878,145.1315394,153.7224107,157.9919168,162.6264846,164.339588,167.4769106,171.3947941,176.3281815,185.9416538,198.0648739,207.5578502
Packaging,Production,699.17364,769.09086,846,918,1008,1098,1224,1314,1404,1440,1490.4,1503,1530,1566,1602,1683,1800,1890,1965.6,2024.568,2085.30504
Packaging,Stock,629.256276,1006.809912,1249.088887,1373.314251,1508.373864,1648.638563,1823.920381,1982.764586,2132.572792,2226.975508,2309.716215,2353.835697,2395.925932,2444.736481,2499.828653,2597.137416,2747.173914,2898.258775,3032.227734,3140.160193,3239.296782
Electronics,Manufacturing Release,14.2688498,15.69573184,17.26530612,18.73469388,20.57142857,22.40816327,24.97959184,26.81632653,28.65306122,29.3877551,30.41632653,30.67346939,31.2244898,31.95918367,32.69387755,34.34693878,36.73469388,38.57142857,40.11428571,41.31771429,42.55724571
Electronics,In Use,0,314.628138,503.404956,632.3203712,728.5179328,815.4896104,897.32291,993.3159403,1080.922134,1164.536759,1221.809699,1272.317577,1302.412833,1328.867407,1357.707705,1387.904667,1439.152926,1517.189464,1596.465488,1669.802016,1732.534195
Electronics,End of Life,0,0,0.164213697,1.484505589,4.738711997,9.043790364,12.29102943,14.07167251,15.44861518,16.91736038,18.53454471,20.19191218,21.67801851,22.85199644,23.69837212,24.29881557,24.77399717,25.25848823,25.9014555,26.84482719,28.15025361
Electronics,Production,699.17364,769.09086,846,918,1008,1098,1224,1314,1404,1440,1490.4,1503,1530,1566,1602,1683,1800,1890,1965.6,2024.568,2085.30504
Electronics,Stock,629.256276,1006.809912,1264.640742,1457.035866,1630.979221,1794.64582,1986.631881,2161.844268,2329.073519,2443.619399,2544.635155,2604.825665,2657.734814,2715.415411,2775.809333,2878.305851,3034.378928,3192.930976,3339.604032,3465.068389,3581.158477
Construction & Building,Manufacturing Release,107.0163735,117.7179888,129.4897959,140.5102041,154.2857143,168.0612245,187.3469388,201.122449,214.8979592,220.4081633,228.122449,230.0510204,234.1836735,239.6938776,245.2040816,257.6020408,275.5102041,289.2857143,300.8571429,309.8828571,319.1793429
Construction & Building,In Use,0,2359.711035,3775.53717,4743.018583,5469.759269,6136.879559,6774.189618,7518.094535,8193.796867,8835.397902,9277.698289,9904.458544,10283.86511,10590.55832,10889.62271,11190.94127,11645.26469,12309.71878,12975.98574,13594.5607,14114.96839
Construction & Building,End of Life,0,0,4.95E-06,4.51E-05,0.000149804,0.000323113,0.000548079,0.000801398,0.001063647,0.001323669,0.001576539,0.100629647,0.183063998,0.252555675,0.311169932,0.364220481,0.413335481,0.464849398,0.513216993,0.55934701,0.596300606
Construction & Building,Production,5243.8023,5768.18145,6345,6885,7560,8235,9180,9855,10530,10800,11178,11272.5,11475,11745,12015,12622.5,13500,14175,14742,15184.26,15639.7878
Construction & Building,Stock,4719.42207,7551.07434,9486.037165,10939.51854,12273.75912,13548.37924,15036.18907,16387.59373,17670.7958,18555.39658,19808.91709,20567.73023,21181.11663,21779.24542,22381.88253,23290.52938,24619.43756,25951.97147,27189.1214,28229.93677,29242.13682
